symbol,longShortRatio
ETHUSDT,2.927
ENSUSDT,1.8984
1000LUNCUSDT,2.5598
MASKUSDT,1.6066
BTCUSDC,1.4196
MEMEUSDT,2.8976
ZILUSDT,1.5875
1MBABYDOGEUSDT,3.0925
STXUSDT,1.778
WIFUSDT,3.2168
XLMUSDT,1.3715
DOGSUSDT,3.7625
PNUTUSDT,1.6852
GALAUSDT,3.0381
1000SATSUSDT,4.1864
1000XECUSDT,1.6208
UNFIUSDT,0.03
ETCUSDT,2.2744
DOTUSDT,2.1291
BTCUSDT,1.6798
ZROUSDT,3.1345
TNSRUSDT,4.1281
ZETAUSDT,1.9905
COWUSDT,1.9448
MYROUSDT,2.7517
SUIUSDC,0.943
EIGENUSDT,3.1984
GOATUSDT,3.4407
1000PEPEUSDC,4.2306
ORDIUSDT,3.476
IOUSDT,4.0075
OPUSDT,4.0382
RAREUSDT,1.6773
LISTAUSDT,3.3883
AAVEUSDT,1.1522
NEIROUSDT,3.4134
FILUSDT,4.2569
PIXELUSDT,4.766
LDOUSDT,3.454
MINAUSDT,1.5526
MEWUSDT,2.6728
WUSDT,1.9746
PONKEUSDT,1.7038
TIAUSDT,2.3117
ATOMUSDT,1.5862
1000RATSUSDT,2.3353
WIFUSDC,2.803
SWELLUSDT,1.7172
ENAUSDT,1.7579
BNBUSDC,2.2942
1000BONKUSDT,3.0089
INJUSDT,2.7687
JTOUSDT,2.207
SOLUSDT,2.5345
PENDLEUSDT,2.3137
SANDUSDT,3.1705
TROYUSDT,0.7734
NEARUSDT,2.8338
GASUSDT,1.2495
FTMUSDT,3.0923
1000SHIBUSDT,1.9163
VETUSDT,2.0546
DOGEUSDT,2.7176
FETUSDT,2.0447
AIUSDT,2.8793
ACTUSDT,1.5543
UXLINKUSDT,0.9797
PYTHUSDT,2.2963
CRVUSDT,1.8593
DYDXUSDT,4.0132
MKRUSDT,4.3528
LINKUSDT,1.9557
KASUSDT,1.3948
ARKUSDT,1.0979
DOGEUSDC,2.8565
ICPUSDT,2.1789
BANANAUSDT,1.8372
1000SHIBUSDC,3.4629
CHZUSDT,1.6945
ETHUSDC,2.3781
POLUSDT,2.6559
HMSTRUSDT,1.6774
STRKUSDT,3.1987
MOODENGUSDT,2.7139
JASMYUSDT,2.7476
BTCUSDT_241227,1.6253
UNIUSDT,2.1244
ARBUSDT,3.5281
SCRUSDT,2.0725
BBUSDT,2.3881
CETUSUSDT,1.4268
SXPUSDT,0.9712
CKBUSDT,1.8079
AXSUSDT,1.7242
ARUSDT,3.6915
ZECUSDT,1.2482
WLDUSDT,2.4606
IOTAUSDT,2.3236
OMUSDT,0.557
BRETTUSDT,2.5244
1000PEPEUSDT,3.781
ADAUSDT,1.7719
SOLUSDC,2.6226
YFIUSDT,1.7232
ZKUSDT,2.9463
POPCATUSDT,2.8621
GRTUSDT,1.7517
CFXUSDT,2.9365
RUNEUSDT,2.6735
BLURUSDT,2.0695
TAOUSDT,4.7478
XRPUSDC,2.8319
RENDERUSDT,2.612
ONDOUSDT,1.0306
FIDAUSDT,3.0507
BCHUSDT,2.3501
CATIUSDT,3.1298
APEUSDT,2.1097
NEIROETHUSDT,3.2049
ARKMUSDT,2.9884
BTCUSDT_250328,2.101
SAGAUSDT,2.0249
ALPACAUSDT,1.7101
TONUSDT,1.3205
PEOPLEUSDT,3.1733
1000CATUSDT,3.5413
ETHFIUSDT,1.7334
BOMEUSDT,3.5936
IMXUSDT,1.0993
1000FLOKIUSDT,2.8059
XRPUSDT,2.6162
BNBUSDT,1.9547
JUPUSDT,1.9531
ALGOUSDT,1.2958
LTCUSDT,3.0295
EOSUSDT,2.0957
NOTUSDT,3.9632
TRXUSDT,0.7572
TURBOUSDT,1.6065
HOTUSDT,1.9665
DRIFTUSDT,0.8636
GRASSUSDT,2.1938
XAIUSDT,5.025
ETHUSDT_241227,0.5346
BIGTIMEUSDT,1.5643
SEIUSDT,2.0425
THETAUSDT,1.4299
TRBUSDT,2.512
AEVOUSDT,7.2528
APTUSDT,2.2901
SUIUSDT,1.6153
AVAXUSDT,1.9326
ALTUSDT,2.1926
